skill,link,image_link,partner,title,course_description,rating,num_review,difficulty,num_lecture,duration,price
magento,https://www.udemy.com/course/the-complete-magento-2-course/,https://img-c.udemycdn.com/course/240x135/2216986_92ff_2.jpg,Pixelpro formación online,The Complete Magento 2 Course,¡Explore the key feature of Magento 2 now and lear how to build a powerful ecommerce project!,4.2,1060,All Levels,62 lectures,4 total hours,
magento,https://www.udemy.com/course/magento-magento-2-certified-developer-exam-learn-full-course/,https://img-c.udemycdn.com/course/240x135/1635218_cd00_13.jpg,LTS Tech Solutions LTD,Magento Course - Complete Magento certified developer exam,Learn Magento 2 development from scratch and get Magento 2 certified with comprehensive training and Hands on exercises,3.6,372,All Levels,42 lectures,8 total hours,
magento,https://www.udemy.com/course/magento-2-theme-development/,https://img-c.udemycdn.com/course/240x135/1609212_8b4b.jpg,Pixelpro formación online,Magento 2 Theme Development,Learn to create powerful themes for Magento 2 and imrpove the look and feel of your store.,4.3,798,Beginner,37 lectures,2.5 total hours,
magento,https://www.udemy.com/course/the-complete-web-development-bootcamp/,https://img-c.udemycdn.com/course/240x135/1565838_e54e_18.jpg,"Dr. Angela Yu, Developer and Lead Instructor",The Complete Full-Stack Web Development Bootcamp,"Become a Full-Stack Web Developer with just ONE course. HTML, CSS, Javascript, Node, React, PostgreSQL, Web3 and DApps",4.7,431983,All Levels,374 lectures,61.5 total hours,
magento,https://www.udemy.com/course/the-web-developer-bootcamp/,https://img-c.udemycdn.com/course/240x135/625204_436a_3.jpg,Colt Steele,The Web Developer Bootcamp 2025,"With 10 Hours of React added. Become a Developer With ONE course - HTML, CSS, JavaScript, React, Node, MongoDB and More!",4.7,279902,All Levels,730 lectures,74 total hours,Current price: $149.99
magento,https://www.udemy.com/course/magento-1x-tutorial-for-developers-basic-to-advance/,https://img-c.udemycdn.com/course/240x135/1791084_8175_3.jpg,Akhil Gupta,Magento 1 Tutorial for Developers (Basic to Advance) Part 1,"Magento local Setup | Custom Frontend and Admin Module| Insert, Update, Delete Record from Admin Panel to the Database",4.3,49,All Levels,48 lectures,4.5 total hours,
magento,https://www.udemy.com/course/magento-2-essential-video-training/,https://img-c.udemycdn.com/course/240x135/1623660_1b1c_4.jpg,Alex Kostritsa,Magento 2 Essential Video Training,"Magento 2 course gives merchants, marketing managers, shop admins info to setup and manage Magento eCommerce store guide",4.4,546,All Levels,42 lectures,4.5 total hours,
magento,https://www.udemy.com/course/magento-2-module-development/,https://img-c.udemycdn.com/course/240x135/2049941_1b3a_4.jpg,Pixelpro formación online,Magento 2 Module Development,Learn Magento 2 customization techniques,4.0,461,Intermediate,30 lectures,2 total hours,
magento,https://www.udemy.com/course/simplified-magento-2-video-course-from-beginner-to-expert/,https://img-c.udemycdn.com/course/240x135/2228248_1ac4_8.jpg,"Ilyas Muyiwa Soladogun, sulaiman olalekan Teslim",Simplified Magento 2: Video Course - From Beginner To Expert,"Master Magento development: Learn how to create module, API, CRUD, custom theme & much more. (English Subtitle)",3.8,776,All Levels,77 lectures,12.5 total hours,
magento,https://www.udemy.com/course/adobe-commerce-developer-professional-cloud-add-on-ad0-e717/,https://img-c.udemycdn.com/course/240x135/5752148_e4c6.jpg,NovaTech Digital,Magento 2 |  Adobe Commerce Developer Professional AD0-E717,Adobe Commerce Developer Professional Cloud add-on AD0-E717 Practice Test,4.3,11,All Levels,122 questions,,Current price: $54.99
magento,https://www.udemy.com/course/kickstart-your-hyva-adventure-crafting-lightweight-magento/,https://img-c.udemycdn.com/course/240x135/6206425_edf2_4.jpg,Adam Varga,Kickstart Your Hyvä Adventure: Crafting Lightweight Magento,"Simplify, Speed Up, Succeed: Crafting Magento / Adobe Commerce with Hyvä + 6 months FREE JetBrains IDE",4.8,30,All Levels,77 lectures,10 total hours,Current price: $74.99
